action - 134, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 135, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 136, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 137, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 138, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 139, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 140, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 141, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 142, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 143, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 144, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 145, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 146, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 147, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 148, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 149, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 150, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 151, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 152, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 153, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 154, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 155, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 156, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 157, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 158, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 159, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 160, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 161, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 162, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
